# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Na/Fe]
CS22174-040	G.W.Preston+,AJ, 120, 1014, 2000	01 28 40.52	-07 24 04.3				-1.6	
CS22175-034	G.W.Preston+,AJ, 120, 1014, 2000	02 20 21.51	-10 38 08.9	7100	3.9	-0.28	-0.28	
CS22180-040	G.W.Preston+,AJ, 120, 1014, 2000	01 45 52.15	-08 05 02.9	7050	4.5	-1.2	-1.2	
CS22182-047	I.U.Roederer+,AJ, 147, 136, 2014	04 22 30.14	-27 34 50.5	5640	3.6	-1.99	-1.99	
CS22185-009	G.W.Preston+,AJ, 120, 1014, 2000	03 14 53.75	-14 43 53.7	7100	3.9	-1.67	-1.67	
CS22871-040	G.W.Preston+,AJ, 120, 1014, 2000	14 39 20.00	-20 50 31.6	7880	4.2	-1.66	-1.66	
CS22872-062	G.W.Preston+,AJ, 120, 1014, 2000	16 26 37.03	-04 32 54.1	7900	4.5	0.24	0.24	
CS22874-009	G.W.Preston+,AJ, 120, 1014, 2000	14 34 23.17	-26 17 37.6	7600	4.5	-0.42	-0.42	
CS22874-034	G.W.Preston+,AJ, 120, 1014, 2000	14 38 26.84	-23 14 48.5				-1.7	
CS22874-042	G.W.Preston+,AJ, 120, 1014, 2000	14 38 01.94	-24 58 44.3	6900	4.5	-1.53	-1.53	
CS22874-042	C.J.Hansen+,AAP, 598, 54, 2017	14 38 01.94	-24 58 44.3	6500	4.5	-1.9	-1.9	0.31
CS22876-008	G.W.Preston+,AJ, 120, 1014, 2000	23 55 21.37	-34 48 01.3	7200	4.5	-1.88	-1.88	
CS22876-021	G.W.Preston+,AJ, 120, 1014, 2000	00 01 03.78	-33 48 15.8	7250	4	-1.1	-1.1	
CS22877-015	I.U.Roederer+,AJ, 147, 136, 2014	13 13 45.26	-09 15 43.1	6150	3.85	-2	-2	-0.13
CS22880-058	G.W.Preston+,AJ, 120, 1014, 2000	20 43 55.98	-21 36 32.5	7150	3.9	-1.85	-1.85	
CS22880-073	G.W.Preston+,AJ, 120, 1014, 2000	20 48 10.95	-20 59 23.9				-0.4	
CS22880-074	W.Aoki+,PASJ, 54, 933, 2002	20 46 03.22	-20 59 14.2	5850	3.8	-1.93	-1.93	
CS22880-074	W.Aoki+,ApJ, 580, 1149, 2002	20 46 03.22	-20 59 14.2	5850	3.8	-1.93	-1.93	
CS22880-074	G.W.Preston+,AJ, 122, 1545, 2001	20 46 03.22	-20 59 14.2	6050	4	-1.8	-1.78	-0.08
CS22883-037	I.U.Roederer+,AJ, 147, 136, 2014	14 24 19.43	+11 29 26.3	5800	1.5	-1.97	-1.97	
CS22883-037	G.W.Preston+,AJ, 132, 85, 2006	14 24 19.43	+11 29 26.3	5900	1.9	-1.75	-1.89	0.95
CS22884-065	G.W.Preston+,AJ, 120, 1014, 2000	15 39 29.19	-07 51 25.3	7050	4.5	-1.67	-1.67	
CS22885-048	G.W.Preston+,AJ, 120, 1014, 2000	20 19 53.78	-38 56 36.1	7050	4	-1.36	-1.36	
CS22885-162	G.W.Preston+,AJ, 120, 1014, 2000	20 35 29.81	-41 47 14.3	7300	4.2	-0.39	-0.38	
CS22886-044	I.U.Roederer+,AJ, 147, 136, 2014	22 20 11.41	-09 41 39.5	5730	3.75	-1.65	-1.86	
CS22887-048	T.Masseron+,ApJ, 751, 14, 2012	22 46 44.60	-11 08 42.0	6500	3.7	-1.8	-1.85	0.21
CS22887-048	D.M.Allen+,AAP, 548, A34, 2012	22 46 44.60	-11 08 42.0	6500	3.35	-1.7	-1.7	
CS22890-069	G.W.Preston+,AJ, 120, 1014, 2000	15 24 12.28	+03 05 06.4			-2	-2	
CS22892-020	G.W.Preston+,AJ, 120, 1014, 2000	22 07 22.47	-14 04 37.3	7050	4.2	-1.86	-1.86	
CS22892-027	G.W.Preston+,AJ, 120, 1014, 2000	22 08 04.76	-15 35 27.3	7200	4	-1.03	-1.03	
CS22894-029	G.W.Preston+,AJ, 120, 1014, 2000	23 42 14.62	-00 51 32.7	7350	4.2	-1.47	-1.47	
CS22894-043	G.W.Preston+,AJ, 120, 1014, 2000	23 47 17.80	+00 44 35.9	7100	4.2	-0.83	-0.83	
CS22896-103	G.W.Preston+,AJ, 120, 1014, 2000	19 33 15.47	-54 58 52.0	7400	4	-0.1	-0.1	
CS22896-149	G.W.Preston+,AJ, 120, 1014, 2000	19 43 44.92	-56 10 08.8	7950	4	-0.16	-0.16	
CS22896-173	G.W.Preston+,AJ, 120, 1014, 2000	19 53 04.02	-55 43 58.1	7000	4	-1.18	-0.86	
CS22897-057	G.W.Preston+,AJ, 120, 1014, 2000	21 19 12.70	-65 50 54.8	7100	4.2	-0.37	-0.37	
CS22937-017	G.W.Preston+,AJ, 120, 1014, 2000	21 02 17.30	-38 43 57.8	7300	4.3	-0.7	-0.7	
CS22940-070	I.U.Roederer+,AJ, 147, 136, 2014	20 42 39.25	-61 40 39.1	6130	1.85	-1.46	-1.43	
CS22941-012	G.W.Preston+,AJ, 120, 1014, 2000	23 28 29.73	-32 48 46.4	7200	4.2	-2.03		
CS22941-012	C.Sneden+,ApJ, 592, 504, 2003	23 28 29.73	-32 48 46.4	7200	4.2	-2.03		
CS22941-012	I.I.Ivans+,ApJ, 592, 906, 2003	23 28 29.73	-32 48 46.4	7200	4.6	-2.01	-2	-0.01
CS22941-035	G.W.Preston+,AJ, 120, 1014, 2000	23 38 07.83	-35 52 52.3	7250	4.5	-0.14	-0.14	
