# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
HD19445	M.Bergemann+,AAP, 492, 823, 2008	03 08 25.59	+26 19 51.4	5985	4.39	-1.96										0.36	-0.56										
HD19445	A.M.Boesgaard+,ApJ, 743, 140, 2011			5853	4.41	-2.1	-2.1													0.51							
HD19445	J.R.Shi+,AAP, 465, 587, 2007	03 08 25.59	+26 19 51.4	6032	4.4	-2.08	-2.07																				2.28
HD19445	R.G.Gratton+,AAP, 404, 187, 2003	03 08 25.59	+26 19 51.4	5976	4.44	-2.04	-2.09			0.28						0.36				0.89	0.51		0.42				
HD19445	B.E.Reddy+,MNRAS, 367, 1329, 2006	03 08 25.59	+26 19 51.4	5522	4.55	-1.88			-0.09	0.32			0.9						0.5	0.67	0.8		0.5				
HD19445	A.M.Boesgaard+,AJ, 117, 492, 1999	03 08 25.59	+26 19 51.4	5996	4.48	-2.01														0.85							
HD19445	R.C.Peterson+,AAP, 638, 64, 2020			6070	4.4	-2.15	-2.15		-0.03						0.37							0.35			0.06	0.39	
HD19445	Y.Takeda+,PASJ, 63, S537, 2011	03 08 25.59	+26 19 51.4	6130	4.39	-2.05	-2.05																				
HD19445	T.V.Mishenina+,AAP, 396, 189, 2002	03 08 25.59	+26 19 51.4			-1.89																					
HD19445	N.Ryde+,AAP, 415, 559, 2004	03 08 25.59	+26 19 51.4	5810	4.46	-1.9																					
HD19445	T.Mishenina+,MNRAS, 469, 4378, 2017	03 08 25.5884	+26 19 51.400	5830	4		-2.16	0.17	-0.13	0.33			0.1	-0.14		0.41	-0.5		0.12		0.67	0.07	0.32	0.09	-0.28		2.1
HD19445	P.E.Nissen+,AAP, 390, 235, 2002	03 08 25.59	+26 19 51.4	5910	4.4	-2.04	-2.01													0.71							
HD19445	I.U.Roederer+,AJ, 147, 136, 2014	03 08 25.59	+26 19 51.4	5820	3.65	-2.4	-2.29	-0.56	-0.34	0.43	<0.36	0.28	0.01	-0.15	-0.02	0.46	-0.34	<1.36	0.05	0.23		0.17	0.29	0.04	-0.42	0.12	2.1
HD19445	J.P.Fulbright+,AJ, 120, 1841, 2000	03 08 25.59	+26 19 51.4	5825	4.2	-2	-2.11		-0.21	0.35				-0.04		0.48			0.06		0.75		0.39		-0.09		2.25
HD19445	T.Gehren+,AAP, 451, 1065, 2006	03 08 25.59	+26 19 51.4	5985	4.39	-1.96										0.23											
HD19445	M.Asplund+,ApJ, 644, 229, 2006	03 08 25.59	+26 19 51.4	5980	4.42	-2.02	-2.02													0.69							2.21
HD196944	K.Jonsell+,AAP, 440, 321, 2005	20 40 46.09	-06 47 50.7	5250	1.7	-2.23	-2.34		1.09	0.34						0.36				0.82	0.47						
HD196944	E.A.DenHartog+,ApJS, 254, 5, 2021			5170	1.6	-2.41	-2.41																				
HD196944	D.Karinkuzhi+,AAP, 645, 61, 2021	20 40 46.08	-06 47 50.64	5168	1.28	-2.5	-2.5		1.02	0.36	0.92	1.22	-0.09	-0.22	0.58	0.35	-0.38	1.37	-0.02	0.81			0.15		0.31	0.52	
HD196944	I.U.Roederer+,ApJ, 675, 723, 2008	20 40 46.09	-06 47 50.7	5170	1.8	-2.46	-2.44																				
